RunID,Sub-04,,Sub-05,,Sub-06,,Sub-07,,Sub-08,,Sub-09,,Sub-11,,Sub-12,,Sub-13,,Sub-14,,Sub-15,
,ErrorMean,ErrorSTD,ErrorMean,ErrorSTD,ErrorMean,ErrorSTD,ErrorMean,ErrorSTD,ErrorMean,ErrorSTD,ErrorMean,ErrorSTD,ErrorMean,ErrorSTD,ErrorMean,ErrorSTD,ErrorMean,ErrorSTD,ErrorMean,ErrorSTD,ErrorMean,ErrorSTD
1,35.052326,79.664111,,,0.492282,82.840876,-16.608938,99.010635,26.290651,51.547387,26.290651,51.547387,43.96328,58.868576,-7.530276,66.131939,0.427791,88.289638,,,19.940175,35.3806
2,-11.173062,49.148446,,,-2.914108,67.184865,57.917565,105.268226,58.205258,80.978723,58.205258,80.978723,10.473955,43.548994,-19.208183,83.199433,16.72001,54.189966,,,2.680678,8.745103
3,2.434983,26.873966,,,-18.092645,36.540166,34.283992,77.456934,8.248788,81.961442,8.248788,81.961442,12.011921,78.352361,-42.490284,71.626345,-6.474716,81.413502,,,4.574811,5.304664
4,9.334693,13.735866,,,-9.151858,53.632411,-69.989566,60.956153,-6.413965,56.649578,-6.413965,56.649578,12.439417,74.770317,-15.854464,89.427398,13.869833,88.516912,,,11.141226,31.427166
5,8.01806,14.190897,,,6.73061,11.642219,-12.006472,36.347583,-4.961496,53.512363,-4.961496,53.512363,-4.013368,86.944682,-32.670243,75.422426,17.50436,98.862275,,,4.130532,10.373636
6,4.103247,11.910788,,,-0.834534,39.116984,-8.352574,58.185464,13.139094,66.91823,13.139094,66.91823,-15.65283,79.725098,13.435559,82.244912,30.386192,85.968641,,,4.820161,27.801891
7,1.350913,7.90989,,,8.484475,14.815465,11.884094,63.481875,4.253765,54.723862,4.253765,54.723862,3.519421,81.920965,-2.48871,69.071774,-3.883185,70.493282,,,8.950652,25.826279
8,5.429782,9.193713,,,2.27008,9.935678,25.169864,50.714168,29.799936,47.65768,29.799936,47.65768,-6.413246,87.751568,4.054382,82.251641,-14.229085,38.930791,,,11.399485,18.1719
Mean,6.818868,26.57846,,,-1.626962,39.463583,2.787245,68.92763,16.070254,61.743658,16.070254,61.743658,7.041069,73.98532,-12.844027,77.421983,6.79015,75.833126,,,8.454715,20.378905
