task_id,duration_sec
T1,466
T2_SPC,283
T2_FLAIR,317
DIF,316
SE2D,31
LOCSTAND,346
LOCSPAT,538
LOCSOC,558
LOCEMOT,474
HCPEMOT,312
HCPGAMB,410
HCPMOTO,404
HCPLANG,492
HCPRELAT,656
HCPSOC,426
HCPWM,640
LANGNSP,654
CLIPS,690
RETINOTO,370
TOMLOC,422
EPLOC,362
MOVLOC,406
FOODPREF,545
PAINTPREF,545
HOUSEPREF,545
FACEPREF,545
VSTMLOC,569
ENUMLOC,1029
RESTATE,900
MTTWE,833
MTTSN,833
SELFLOC,770
SELFLOC4,1008
BANGLOC,536
RAIDERS_RUN01,748
RAIDERS_RUN02,593
RAIDERS_RUN03,628
RAIDERS_RUN04,757
RAIDERS_RUN05,693
RAIDERS_RUN06,692
RAIDERS_RUN07,699
RAIDERS_RUN08,706
RAIDERS_RUN09,562
RAIDERS_RUN10,421
LOCMOTO,767
LOCMCSE,403
LOCMVEB,455
LOCMVIS,405
LOCAUDI,743
LOCLEC1,429
LOCLEC2,335
LOCVISU,395
SS,380
ANT,380
TBT,710
STROOP,264
MSSS,708
DISCOUNT,669
CARDS,540
WATT3,530
DPX,788
BIOMO1,405
BIOMO2,405
LPP1,624
LPP2,658
LPP3,714
LPP4,636
LPP5,592
LPP6,762
LPP7,670
LPP8,594
LPP9,678
LPPLOC,342
MTHLANG1,560
MTHLANG2,558
MTHLANG3,570
MTHLANG4,574
MTHLANG5,563
MTHLANG6,564
SPNAV1,300
SPNAV2,480
BBT1,528
BBT2,488
BBT3,605
BBT4,278
BBT5,485
AUDIO,600
EMOMEM,612
EMORECOG,389
SNG,608
ODDBALL,270
VSTM,508
FINGTAP,326
BREATH,363
CHECREACT,379
RTFING,562
ITREC,443
VSWM1,710
VSWM2,708
VSWM3,689
VSWM4,712
REWPROC1,723
REWPROC2,723
NARPS1,443
NARPS2,443
NARPS3,443
NARPS4,443
SCENE1,568
SCENE2,568
SCENE3,568
SCENE4,568
FB1,458
FB2,458
FB3,458
FB4,458
MK1,929
MK2,929
MK3,931
MK4,931
MK5,931
COL1,440
COL2,440
COL3,440
COL4,440
MOT1,394
MOT2,392
MOT3,394
MOT4,394
OPTB1,602
OPTB2,602
OPTB3,602
OPTB4,602
OPTB5,602
AOMICMOV,660
AOMICFACE1,373
AOMICFACE2,373
AOMICGSTROOP1,490
AOMICGSTROOP2,490
AOMICEMOMATCH1,240
AOMICEMOMATCH2,240
AOMICWM1,321
AOMICWM2,361
ABSLOC,498
ABS1,983
ABS2,983
ABS3,983
ABS4,983
