Numerosity,Run,sub-01,sub-04,sub-05,sub-06,sub-07,sub-09,sub-11,sub-12,sub-13,sub-14,sub-15
All numerosities,1,72,67,49,58,69,69,58,69,65,34,54
,2,70,71,47,69,73,69,51,66,64,48,50
,Mean,71,69,48,64,71,69,54,68,64,41,52
1,1,100,77,93,89,100,93,100,86,100,82,75
,2,92,100,60,100,92,70,100,100,100,82,83
,Mean,96,88,76,94,96,82,100,93,100,82,79
2,1,100,93,83,80,100,73,92,85,90,80,88
,2,100,85,92,100,94,78,94,100,100,56,100
,Mean,100,89,88,90,97,76,93,92,95,68,94
3,1,100,78,100,69,83,100,69,92,87,25,77
,2,100,100,64,73,100,100,42,91,89,80,64
,Mean,100,89,82,71,92,100,56,92,88,52,70
4,1,100,87,33,47,62,90,0,92,89,18,40
,2,92,89,33,67,88,79,0,83,100,36,64
,Mean,96,88,33,57,75,84,0,88,94,27,52
5,1,17,27,18,23,58,64,45,36,0,18,14
,2,42,47,31,45,58,80,20,38,17,33,30
,Mean,30,37,24,34,58,72,32,37,8,26,22
6,1,18,31,8,29,54,18,60,45,44,0,11
,2,23,62,17,20,64,38,44,62,20,27,33
,Mean,20,46,12,24,59,28,52,54,32,14,22
7,1,50,58,13,80,71,55,55,50,69,12,36
,2,36,60,22,89,60,69,67,36,73,36,8
,Mean,43,59,18,84,66,62,61,43,71,24,22
8,1,67,78,50,71,30,44,38,50,36,50,73
,2,93,56,50,47,29,47,33,33,10,47,38
,Mean,80,67,50,59,30,46,36,42,23,48,56
