Numerosity,Run,sub-01,sub-04,sub-05,sub-06,sub-07,sub-09,sub-11,sub-12,sub-13,sub-14,sub-15
All numerosities,1,36,51,28,53,44,49,58,35,29,33,40
,2,49,49,12,57,36,56,50,40,35,18,38
,3,40,49,42,58,46,44,56,49,42,39,42
,4,43,58,39,57,39,56,57,47,43,43,44
,Mean,42,52,30,56,41,51,55,43,37,33,41
1,1,33,57,38,56,45,78,77,38,36,54,60
,2,60,59,6,60,31,60,64,55,31,18,56
,3,43,62,36,64,58,29,83,44,62,33,25
,4,70,73,54,60,50,71,58,88,62,42,50
,Mean,52,63,34,60,46,60,70,56,48,37,48
2,1,50,82,54,54,80,58,59,36,38,43,31
,2,58,38,18,55,29,75,57,40,27,40,27
,3,27,50,58,73,67,41,58,54,31,38,20
,4,31,83,17,77,58,43,67,55,45,45,56
,Mean,42,63,37,65,58,54,60,46,35,42,34
3,1,27,50,36,100,64,38,17,46,42,50,50
,2,44,64,23,60,54,55,42,82,42,12,42
,3,42,45,40,62,58,44,75,85,62,33,50
,4,58,38,71,45,33,47,50,45,27,27,36
,Mean,43,49,42,67,52,46,46,64,43,30,44
4,1,30,31,20,61,36,25,100,25,20,14,20
,2,50,88,11,50,40,67,60,31,21,20,36
,3,23,42,29,75,22,64,27,50,38,36,38
,4,9,67,40,62,27,54,56,43,45,50,45
,Mean,28,57,25,62,31,52,61,37,31,30,35
5,1,50,58,17,33,50,46,62,40,18,14,62
,2,42,8,8,50,31,36,55,7,46,0,44
,3,62,54,33,46,40,40,40,11,23,42,62
,4,45,45,33,55,33,67,64,33,36,50,36
,Mean,50,41,23,46,38,47,55,23,31,26,51
6,1,29,44,8,18,17,54,38,21,20,33,21
,2,30,38,9,62,33,36,31,40,44,20,20
,3,44,36,54,38,25,46,55,36,42,50,67
,4,47,46,9,36,33,45,46,38,33,50,47
,Mean,38,41,20,38,27,45,42,34,35,38,39
