onset	duration	trial_type
0.004	5	face_gender
7.667	5	expression_gender
21.211	5	face_gender
28.374	5	face_trusty
35.038	5	expression_control
47.583	5	face_control
54.246	5	expression_intention
62.41	5	expression_intention
69.573	5	face_trusty
76.736	5	expression_gender
84.399	5	expression_gender
91.562	5	expression_control
98.726	5	expression_gender
105.39	5	expression_intention
113.553	5	face_gender
121.716	5	face_trusty
128.878	5	expression_intention
142.924	5	face_trusty
156.467	5	face_gender
171.011	5	face_control
177.175	5	face_trusty
184.837	5	face_control
191.501	5	expression_gender
199.165	5	face_gender
206.828	5	expression_intention
213.991	5	face_gender
231.416	5	expression_gender
238.079	5	expression_control
245.244	5	face_trusty
252.406	5	expression_intention
265.451	5	expression_intention
272.614	5	face_control
279.278	5	face_gender
286.442	5	expression_gender
293.106	5	expression_intention
300.768	5	expression_control
313.813	5	face_trusty
321.477	5	face_trusty
328.639	5	expression_gender
341.684	5	face_gender
347.848	5	expression_intention
355.511	5	face_gender
363.675	5	expression_gender
375.219	5	face_trusty
388.263	5	expression_gender
395.926	5	face_control
402.09	5	expression_control
408.754	5	face_gender
415.916	5	expression_intention
422.581	5	face_trusty
