onset	duration	trial_type
0.196	7.036	false_belief_video
7.232	2.397	false_belief_video_pourquoi
9.629	6.258	non_speech
15.887	6.997	speech
22.884	7.201	mechanistic_audio
30.085	1.892	mechanistic_audio_pourquoi
31.977	6.498	speech
38.475	6.109	non_speech
44.584	7.266	mechanistic_video
51.85	1.699	mechanistic_video_pourquoi
53.549	7.25	false_belief_video
60.799	1.499	false_belief_video_pourquoi
69.514	6.916	triangle_intention
79.947	7.199	triangle_random
87.146	6.716	triangle_intention
97.361	7.1	triangle_random
108.244	7.31	triangle_random
115.554	5.805	non_speech
125.175	7.107	triangle_random
132.282	6.808	speech
139.09	7.266	mechanistic_video
146.356	1.7	mechanistic_video_pourquoi
152.066	7.205	false_belief_audio
159.271	2.167	false_belief_audio_pourquoi
161.438	6.96	triangle_intention
168.398	6.332	non_speech
174.73	6.986	speech
181.716	7.202	false_belief_audio
188.918	2.098	false_belief_audio_pourquoi
191.016	7.201	mechanistic_audio
198.217	2.083	mechanistic_audio_pourquoi
200.3	7.329	triangle_intention
207.629	6.366	non_speech
213.995	6.62	non_speech
220.615	6.716	triangle_random
231.531	6.915	triangle_intention
238.446	7.25	false_belief_video
245.696	1.699	false_belief_video_pourquoi
247.395	7.266	mechanistic_video
254.661	1.7	mechanistic_video_pourquoi
260.357	6.644	speech
267.001	7.208	mechanistic_audio
274.209	1.783	mechanistic_audio_pourquoi
275.992	7.099	triangle_random
283.091	7.2	false_belief_audio
290.291	2.483	false_belief_audio_pourquoi
292.774	7.033	speech
299.807	7.332	triangle_intention
307.139	7.53	triangle_intention
314.669	6.185	non_speech
324.854	6.916	triangle_random
335.186	7.249	false_belief_video
342.435	1.92	false_belief_video_pourquoi
344.355	7.046	speech
351.401	7.683	triangle_random
359.084	7.216	mechanistic_audio
366.3	2.281	mechanistic_audio_pourquoi
368.581	6.606	non_speech
375.187	7.211	false_belief_audio
382.398	1.9	false_belief_audio_pourquoi
387.714	7.249	mechanistic_video
394.963	2.117	mechanistic_video_pourquoi
397.08	7.307	triangle_intention
404.387	7.224	speech
411.611	6.9	triangle_intention
418.511	7.265	mechanistic_video
425.776	2.155	mechanistic_video_pourquoi
427.931	7.211	mechanistic_audio
435.142	2.099	mechanistic_audio_pourquoi
437.241	7.2	false_belief_audio
444.441	1.5	false_belief_audio_pourquoi
449.774	7.1	triangle_random
456.874	7.682	triangle_random
464.556	6.225	non_speech
470.781	6.623	speech
477.404	7.3	triangle_intention
487.737	7.232	false_belief_video
494.969	1.896	false_belief_video_pourquoi
496.865	5.62	non_speech
506.271	7.729	speech
