onset	duration	trial_type
0.017	6.3	rotation_side
14.046	6.3	saccade
26.088	6.3	object_orientation
36.125	6.3	rotation_hand
44.175	6.3	object_grasp
52.225	6.3	rotation_side
66.254	6.3	object_grasp
78.296	6.3	saccade
90.321	6.3	object_orientation
100.359	6.3	rotation_hand
112.4	6.3	rotation_side
124.426	6.3	object_orientation
140.442	6.3	saccade
154.487	6.3	rotation_side
170.521	6.3	rotation_hand
182.545	6.3	object_grasp
194.587	6.3	rotation_hand
202.637	6.3	saccade
212.658	6.3	object_grasp
224.667	6.3	object_orientation
236.692	6.3	object_grasp
244.741	6.3	object_grasp
260.774	6.3	rotation_hand
274.803	6.3	object_orientation
286.845	6.3	rotation_side
296.866	6.3	saccade
306.903	6.3	saccade
318.945	6.3	rotation_side
328.966	6.3	object_orientation
338.986	6.3	rotation_hand
351.011	6.3	rotation_hand
365.04	6.3	object_orientation
379.069	6.3	object_grasp
395.086	6.3	rotation_hand
407.111	6.3	object_grasp
419.153	6.3	saccade
429.173	6.3	object_orientation
443.186	6.3	rotation_side
457.198	6.3	rotation_side
469.224	6.3	saccade
