onset	duration	trial_type
11.117	3.022	shape
14.139	3.121	shape
17.26	3.021	shape
20.281	3.022	shape
23.303	3.021	shape
26.324	3.054	shape
32.5	3.155	face
35.655	3.104	face
38.759	3.039	face
41.798	3.171	face
44.969	3.188	face
48.157	3.071	face
54.183	3.021	shape
57.204	3.022	shape
60.226	3.021	shape
63.247	3.021	shape
66.268	3.021	shape
69.289	3.072	shape
75.399	3.171	face
78.57	3.072	face
81.642	3.104	face
84.746	3.088	face
87.834	3.122	face
90.956	3.055	face
96.982	3.021	shape
100.003	3.021	shape
103.024	3.022	shape
106.046	3.021	shape
109.067	3.021	shape
112.088	3.071	shape
118.114	3.021	face
121.135	3.022	face
124.157	3.021	face
127.178	3.021	face
130.199	3.021	face
133.22	3.055	face
139.246	3.022	shape
142.268	3.021	shape
145.289	3.021	shape
148.31	3.021	shape
151.331	3.022	shape
154.353	3.054	shape
160.379	3.021	face
163.4	3.021	face
166.421	3.021	face
169.442	3.022	face
172.464	3.021	face
175.485	3.055	face
181.511	3.021	shape
184.532	3.021	shape
187.553	3.022	shape
190.575	3.021	shape
193.596	3.021	shape
196.617	3.055	shape
202.643	3.021	face
205.664	3.022	face
208.686	3.021	face
211.707	3.021	face
214.728	3.022	face
217.75	3.054	face
223.775	3.022	shape
226.797	3.021	shape
229.818	3.021	shape
232.839	3.022	shape
235.861	3.021	shape
238.882	3.054	shape
244.908	3.021	face
247.929	3.021	face
250.95	3.022	face
253.972	3.021	face
256.993	3.021	face
260.014	3.021	face
