onset	duration	trial_type
8.145	3.606	reward
11.751	3.605	reward
15.356	3.606	punishment
18.962	3.605	reward
22.567	3.606	reward
26.173	3.605	reward
29.778	3.606	neutral
33.384	3.574	reward
51.996	3.605	reward
55.601	3.606	punishment
59.207	3.605	punishment
62.812	3.622	punishment
66.434	3.606	neutral
70.04	3.605	punishment
73.645	3.623	punishment
77.268	3.551	punishment
95.879	3.606	punishment
99.485	3.622	punishment
103.107	3.606	punishment
106.713	3.622	neutral
110.335	3.605	punishment
113.94	3.606	neutral
117.546	3.605	punishment
121.151	3.564	punishment
139.763	3.606	reward
143.369	3.622	reward
146.991	3.605	punishment
150.596	3.606	reward
154.202	3.605	punishment
157.807	3.606	reward
161.413	3.605	reward
165.018	3.575	reward
183.63	3.606	punishment
187.236	3.605	punishment
190.841	3.606	reward
194.447	3.622	punishment
198.069	3.605	reward
201.674	3.622	punishment
205.296	3.606	punishment
208.902	3.57	punishment
227.514	3.605	reward
231.119	3.622	neutral
234.741	3.606	reward
238.347	3.605	reward
241.952	3.606	reward
245.558	3.622	reward
249.18	3.606	neutral
252.786	3.565	reward
271.397	3.606	punishment
275.003	3.605	punishment
278.608	3.606	reward
282.214	3.605	punishment
285.819	3.606	reward
289.425	3.605	punishment
293.03	3.606	punishment
296.636	3.56	punishment
315.248	3.605	reward
318.853	3.606	reward
322.459	3.605	punishment
326.064	3.606	reward
329.67	3.605	punishment
333.275	3.606	reward
336.881	3.605	reward
340.486	3.555	reward
