onset	duration	trial_type
1.0	30.346	story
33.166	9.848	math
43.014	10.082	math
53.096	9.832	math
64.981	29.261	story
94.242	28.36	story
122.602	24.054	story
148.525	11.317	math
159.842	11.368	math
171.21	11.401	math
182.611	11.083	math
193.694	32.967	story
228.497	12.052	math
240.549	11.134	math
253.819	30.714	story
286.386	11.734	math
298.12	12.136	math
312.325	30.681	story
344.825	12.152	math
356.977	11.167	math
368.144	11.05	math
379.194	12.352	math
393.599	30.764	story
426.249	12.853	dummy
