onset	duration	trial_type
5.505	4.054	complex_sentence_objclef
11.288	0.504	probe
15.504	4.058	simple_sentence_adj
21.236	0.507	probe
25.508	4.048	simple_sentence_cvp
31.347	0.507	probe
35.508	4.04	consonant_strings
41.521	0.506	probe
45.51	4.052	jabberwocky
51.413	0.507	probe
55.511	4.049	word_list
61.474	0.506	probe
65.556	4.049	simple_sentence_coord
71.122	0.504	probe
75.557	4.048	complex_sentence_objrel
81.545	0.506	probe
85.558	4.047	consonant_strings
91.334	0.506	probe
95.559	4.048	simple_sentence_adj
101.566	0.507	probe
105.561	4.052	word_list
111.282	0.504	probe
115.561	4.052	pseudoword_list
121.293	0.506	probe
125.563	4.052	consonant_strings
131.314	0.503	probe
135.562	4.055	simple_sentence_coord
141.599	0.505	probe
145.562	4.053	jabberwocky
151.151	0.506	probe
155.565	4.043	pseudoword_list
161.375	0.506	probe
165.564	4.046	consonant_strings
171.147	0.506	probe
175.565	4.04	simple_sentence_coord
181.495	0.505	probe
185.564	4.044	word_list
191.473	0.505	probe
195.566	4.05	complex_sentence_objclef
201.13	0.506	probe
205.566	4.05	pseudoword_list
211.32	0.507	probe
215.567	4.043	consonant_strings
221.452	0.503	probe
225.568	4.049	consonant_strings
231.233	0.504	probe
235.57	4.045	complex_sentence_subjrel
241.565	0.505	probe
245.57	4.051	complex_sentence_subjrel
251.404	0.505	probe
255.571	4.042	pseudoword_list
261.147	0.507	probe
265.571	4.056	jabberwocky
271.398	0.507	probe
275.572	4.052	jabberwocky
281.267	0.506	probe
285.573	4.048	word_list
291.463	0.504	probe
295.574	4.046	simple_sentence_coord
301.427	0.505	probe
305.576	4.048	simple_sentence_cvp
311.627	0.506	probe
315.576	4.042	simple_sentence_cvp
321.391	0.506	probe
325.576	4.055	word_list
331.194	0.505	probe
335.578	4.044	simple_sentence_coord
341.548	0.505	probe
345.58	4.052	consonant_strings
351.253	0.504	probe
355.58	4.048	jabberwocky
361.491	0.505	probe
365.582	4.05	pseudoword_list
371.295	0.506	probe
375.581	4.043	complex_sentence_objrel
381.311	0.506	probe
385.582	4.053	word_list
391.496	0.505	probe
395.585	4.038	complex_sentence_objclef
401.352	0.503	probe
405.586	4.051	pseudoword_list
411.569	0.504	probe
415.586	4.049	jabberwocky
421.289	0.505	probe
425.588	4.051	consonant_strings
431.227	0.506	probe
435.588	4.056	word_list
441.547	0.505	probe
445.589	4.049	pseudoword_list
451.388	0.506	probe
455.591	4.042	consonant_strings
461.432	0.504	probe
465.59	4.049	word_list
471.513	0.506	probe
475.592	4.054	pseudoword_list
481.468	0.506	probe
485.592	4.051	consonant_strings
491.628	0.507	probe
495.624	4.045	jabberwocky
501.669	0.506	probe
505.624	4.042	pseudoword_list
511.374	0.505	probe
515.625	4.05	complex_sentence_objrel
521.537	0.506	probe
525.626	4.054	word_list
531.29	0.506	probe
535.627	4.052	jabberwocky
541.676	0.505	probe
545.63	4.05	complex_sentence_objrel
551.221	0.507	probe
555.631	4.053	complex_sentence_objrel
561.239	0.506	probe
565.632	4.047	word_list
571.429	0.506	probe
575.633	4.045	pseudoword_list
581.295	0.503	probe
585.636	4.052	jabberwocky
591.409	0.506	probe
595.636	4.055	jabberwocky
601.217	0.506	probe
