onset	duration	trial_type
10.683	2.721	2back_body
13.404	2.704	2back_body
16.108	2.704	2back_body
18.812	2.704	2back_body
21.516	2.721	2back_body
24.237	2.721	2back_body
26.958	2.688	2back_body
29.646	2.704	2back_body
32.35	2.687	2back_body
35.037	2.604	2back_body
40.279	2.72	0back_face
42.999	2.721	0back_face
45.72	2.721	0back_face
48.441	2.721	0back_face
51.162	2.754	0back_face
53.916	2.721	0back_face
56.637	2.738	0back_face
59.375	2.721	0back_face
62.096	2.737	0back_face
64.833	2.539	0back_face
85.031	2.721	2back_tools
87.752	2.704	2back_tools
90.456	2.721	2back_tools
93.177	2.687	2back_tools
95.864	2.704	2back_tools
98.568	2.688	2back_tools
101.256	2.704	2back_tools
103.96	2.721	2back_tools
106.681	2.704	2back_tools
109.385	2.57	2back_tools
114.593	2.704	0back_body
117.297	2.721	0back_body
120.018	2.671	0back_body
122.689	2.721	0back_body
125.41	2.704	0back_body
128.114	2.704	0back_body
130.818	2.721	0back_body
133.539	2.687	0back_body
136.226	2.721	0back_body
138.947	2.551	0back_body
159.161	2.705	0back_place
161.866	2.704	0back_place
164.57	2.704	0back_place
167.274	2.704	0back_place
169.978	2.688	0back_place
172.666	2.687	0back_place
175.353	2.688	0back_place
178.041	2.687	0back_place
180.728	2.721	0back_place
183.449	2.537	0back_place
188.674	2.72	2back_face
191.394	2.755	2back_face
194.149	2.72	2back_face
196.869	2.738	2back_face
199.607	2.738	2back_face
202.345	2.754	2back_face
205.099	2.737	2back_face
207.836	2.738	2back_face
210.574	2.754	2back_face
213.328	2.546	2back_face
233.509	2.721	0back_tools
236.23	2.687	0back_tools
238.917	2.688	0back_tools
241.605	2.704	0back_tools
244.309	2.688	0back_tools
246.997	2.687	0back_tools
249.684	2.704	0back_tools
252.388	2.688	0back_tools
255.076	2.687	0back_tools
257.763	2.537	0back_tools
262.954	2.688	2back_place
265.642	2.737	2back_place
268.379	2.705	2back_place
271.084	2.704	2back_place
273.788	2.704	2back_place
276.492	2.704	2back_place
279.196	2.721	2back_place
281.917	2.687	2back_place
284.604	2.705	2back_place
287.309	2.525	2back_place
307.49	2.687	2back_tools
310.177	2.704	2back_tools
312.881	2.688	2back_tools
315.569	2.687	2back_tools
318.256	2.704	2back_tools
320.96	2.688	2back_tools
323.648	2.704	2back_tools
326.352	2.704	2back_tools
329.056	2.704	2back_tools
331.76	2.571	2back_tools
336.968	2.704	0back_body
339.672	2.688	0back_body
342.36	2.704	0back_body
345.064	2.687	0back_body
347.751	2.705	0back_body
350.456	2.72	0back_body
353.176	2.722	0back_body
355.898	2.703	0back_body
358.601	2.705	0back_body
361.306	2.537	0back_body
381.52	2.738	2back_face
384.258	2.704	2back_face
386.962	2.754	2back_face
389.716	2.754	2back_face
392.47	2.721	2back_face
395.191	2.754	2back_face
397.945	2.721	2back_face
400.666	2.721	2back_face
403.387	2.721	2back_face
406.108	2.587	2back_face
411.316	2.721	0back_tools
414.037	2.67	0back_tools
416.707	2.688	0back_tools
419.395	2.687	0back_tools
422.082	2.688	0back_tools
424.77	2.687	0back_tools
427.457	2.705	0back_tools
430.162	2.72	0back_tools
432.882	2.671	0back_tools
435.553	2.55	0back_tools
455.768	2.704	2back_body
458.472	2.704	2back_body
461.176	2.704	2back_body
463.88	2.721	2back_body
466.601	2.721	2back_body
469.322	2.704	2back_body
472.026	2.704	2back_body
474.73	2.704	2back_body
477.434	2.721	2back_body
480.155	2.537	2back_body
485.396	2.738	2back_place
488.134	2.737	2back_place
490.871	2.721	2back_place
493.592	2.738	2back_place
496.33	2.704	2back_place
499.034	2.738	2back_place
501.772	2.704	2back_place
504.476	2.737	2back_place
507.213	2.721	2back_place
509.934	2.529	2back_place
530.165	2.721	0back_face
532.886	2.721	0back_face
535.607	2.737	0back_face
538.344	2.738	0back_face
541.082	2.738	0back_face
543.82	2.737	0back_face
546.557	2.738	0back_face
549.295	2.704	0back_face
551.999	2.737	0back_face
554.736	2.604	0back_face
559.944	2.721	0back_place
562.665	2.721	0back_place
565.386	2.738	0back_place
568.124	2.754	0back_place
570.878	2.737	0back_place
573.615	2.721	0back_place
576.336	2.721	0back_place
579.057	2.721	0back_place
581.778	2.721	0back_place
584.499	2.54	0back_place
