sub,run,lag
sub-04,tgbu_movie01,2383
sub-04,tgbu_movie02,2372
sub-04,tgbu_movie03,2417
sub-04,tgbu_movie04,2302
sub-04,tgbu_movie05,2367
sub-04,tgbu_movie06,2353
sub-04,tgbu_movie07,2383
sub-04,tgbu_movie08,2480
sub-04,tgbu_movie09,2232
sub-04,tgbu_movie10,2264
sub-04,tgbu_movie11,2256
sub-04,tgbu_movie12,2261
sub-04,tgbu_movie13,2259
sub-04,tgbu_movie14,2262
sub-04,tgbu_movie15,2536
sub-04,tgbu_movie16,2405
sub-04,tgbu_movie17,2371
sub-04,tgbu_movie18,2327
sub-04,tgbu_movie01_test,2292
sub-04,tgbu_movie02_test,2342
sub-04,tgbu_movie03_test,2353
sub-05,tgbu_movie01,1113
sub-05,tgbu_movie02,1005
sub-05,tgbu_movie03,1017
sub-05,tgbu_movie04,1011
sub-05,tgbu_movie05,968
sub-05,tgbu_movie06,997
sub-05,tgbu_movie07,1029
sub-05,tgbu_movie08,488
sub-05,tgbu_movie09,463
sub-05,tgbu_movie10,1006
sub-05,tgbu_movie11,992
sub-05,tgbu_movie12,1041
sub-05,tgbu_movie13,1000
sub-05,tgbu_movie14,1068
sub-05,tgbu_movie15,2386
sub-05,tgbu_movie16,2364
sub-05,tgbu_movie17,2393
sub-05,tgbu_movie18,2513
sub-05,tgbu_movie01_test,2356
sub-05,tgbu_movie02_test,2343
sub-05,tgbu_movie03_test,2420
sub-06,tgbu_movie01,2413
sub-06,tgbu_movie02,2392
sub-06,tgbu_movie03,2353
sub-06,tgbu_movie04,2341
sub-06,tgbu_movie05,2321
sub-06,tgbu_movie06,2382
sub-06,tgbu_movie07,2348
sub-06,tgbu_movie08,2548
sub-06,tgbu_movie09,2372
sub-06,tgbu_movie10,2379
sub-06,tgbu_movie11,2390
sub-06,tgbu_movie12,2344
sub-06,tgbu_movie13,2414
sub-06,tgbu_movie14,2421
sub-06,tgbu_movie15,2483
sub-06,tgbu_movie16,2323
sub-06,tgbu_movie17,2420
sub-06,tgbu_movie18,2402
sub-06,tgbu_movie01_test,2340
sub-06,tgbu_movie02_test,2333
sub-06,tgbu_movie03_test,2354
sub-07,tgbu_movie01,2156
sub-07,tgbu_movie02,2138
sub-07,tgbu_movie03,2125
sub-07,tgbu_movie04,2105
sub-07,tgbu_movie05,2138
sub-07,tgbu_movie06,2115
sub-07,tgbu_movie07,2136
sub-07,tgbu_movie08,911
sub-07,tgbu_movie09,887
sub-07,tgbu_movie10,890
sub-07,tgbu_movie11,871
sub-07,tgbu_movie12,895
sub-07,tgbu_movie13,870
sub-07,tgbu_movie14,909
sub-07,tgbu_movie15,509
sub-07,tgbu_movie16,495
sub-07,tgbu_movie17,490
sub-07,tgbu_movie18,470
sub-07,tgbu_movie01_test,445
sub-07,tgbu_movie02_test,468
sub-07,tgbu_movie03_test,466
sub-08,tgbu_movie01,2431
sub-08,tgbu_movie02,2405
sub-08,tgbu_movie03,2437
sub-08,tgbu_movie04,2416
sub-08,tgbu_movie05,2484
sub-08,tgbu_movie06,2403
sub-08,tgbu_movie07,2392
sub-08,tgbu_movie08,2261
sub-08,tgbu_movie09,2424
sub-08,tgbu_movie10,2243
sub-08,tgbu_movie11,2282
sub-08,tgbu_movie12,2290
sub-08,tgbu_movie13,2277
sub-08,tgbu_movie14,2326
sub-08,tgbu_movie15,2607
sub-08,tgbu_movie16,2439
sub-08,tgbu_movie17,2451
sub-08,tgbu_movie18,2428
sub-08,tgbu_movie01_test,2435
sub-08,tgbu_movie02_test,2439
sub-08,tgbu_movie03_test,2465
sub-09,tgbu_movie01,1004
sub-09,tgbu_movie02,981
sub-09,tgbu_movie03,995
sub-09,tgbu_movie04,954
sub-09,tgbu_movie05,1005
sub-09,tgbu_movie06,995
sub-09,tgbu_movie07,1003
sub-09,tgbu_movie08,994
sub-09,tgbu_movie09,958
sub-09,tgbu_movie10,943
sub-09,tgbu_movie11,951
sub-09,tgbu_movie12,969
sub-09,tgbu_movie13,910
sub-09,tgbu_movie14,988
sub-09,tgbu_movie15,1014
sub-09,tgbu_movie16,1012
sub-09,tgbu_movie17,1035
sub-09,tgbu_movie18,971
sub-09,tgbu_movie01_test,986
sub-09,tgbu_movie02_test,986
sub-09,tgbu_movie03_test,1020
sub-11,tgbu_movie01,2140
sub-11,tgbu_movie02,2115
sub-11,tgbu_movie03,2161
sub-11,tgbu_movie04,2121
sub-11,tgbu_movie05,2145
sub-11,tgbu_movie06,2131
sub-11,tgbu_movie07,2161
sub-11,tgbu_movie08,595
sub-11,tgbu_movie09,472
sub-11,tgbu_movie10,444
sub-11,tgbu_movie11,447
sub-11,tgbu_movie12,462
sub-11,tgbu_movie13,457
sub-11,tgbu_movie14,512
sub-11,tgbu_movie15,522
sub-11,tgbu_movie16,478
sub-11,tgbu_movie17,492
sub-11,tgbu_movie18,452
sub-11,tgbu_movie01_test,447
sub-11,tgbu_movie02_test,475
sub-11,tgbu_movie03_test,498
sub-12,tgbu_movie01,2407
sub-12,tgbu_movie02,2395
sub-12,tgbu_movie03,2412
sub-12,tgbu_movie04,2402
sub-12,tgbu_movie05,2396
sub-12,tgbu_movie06,2379
sub-12,tgbu_movie07,2396
sub-12,tgbu_movie08,2462
sub-12,tgbu_movie09,2286
sub-12,tgbu_movie10,2281
sub-12,tgbu_movie11,2264
sub-12,tgbu_movie12,2278
sub-12,tgbu_movie13,2255
sub-12,tgbu_movie14,2323
sub-12,tgbu_movie15,2517
sub-12,tgbu_movie16,2397
sub-12,tgbu_movie17,2381
sub-12,tgbu_movie18,2359
sub-12,tgbu_movie01_test,2373
sub-12,tgbu_movie02_test,2334
sub-12,tgbu_movie03_test,2373
sub-13,tgbu_movie01,2357
sub-13,tgbu_movie02,2441
sub-13,tgbu_movie03,2383
sub-13,tgbu_movie04,2363
sub-13,tgbu_movie05,2386
sub-13,tgbu_movie06,2377
sub-13,tgbu_movie07,2398
sub-13,tgbu_movie08,2568
sub-13,tgbu_movie09,2360
sub-13,tgbu_movie10,2310
sub-13,tgbu_movie11,2329
sub-13,tgbu_movie12,2368
sub-13,tgbu_movie13,2344
sub-13,tgbu_movie14,2406
sub-13,tgbu_movie15,2533
sub-13,tgbu_movie16,2347
sub-13,tgbu_movie17,2365
sub-13,tgbu_movie18,2381
sub-13,tgbu_movie01_test,2339
sub-13,tgbu_movie02_test,2353
sub-13,tgbu_movie03_test,2351
sub-14,tgbu_movie01,2224
sub-14,tgbu_movie02,2097
sub-14,tgbu_movie03,2073
sub-14,tgbu_movie04,2083
sub-14,tgbu_movie05,2095
sub-14,tgbu_movie06,2088
sub-14,tgbu_movie07,2118
sub-14,tgbu_movie08,2168
sub-14,tgbu_movie09,2152
sub-14,tgbu_movie10,2120
sub-14,tgbu_movie11,2138
sub-14,tgbu_movie12,2117
sub-14,tgbu_movie13,2152
sub-14,tgbu_movie14,2191
sub-14,tgbu_movie15,2159
sub-14,tgbu_movie16,2141
sub-14,tgbu_movie17,2159
sub-14,tgbu_movie18,2125
sub-14,tgbu_movie01_test,2123
sub-14,tgbu_movie02_test,2170
sub-14,tgbu_movie03_test,2148
sub-15,tgbu_movie01,973
sub-15,tgbu_movie02,921
sub-15,tgbu_movie03,971
sub-15,tgbu_movie04,909
sub-15,tgbu_movie05,948
sub-15,tgbu_movie06,944
sub-15,tgbu_movie07,936
sub-15,tgbu_movie08,2340
sub-15,tgbu_movie09,2281
sub-15,tgbu_movie10,2278
sub-15,tgbu_movie11,2222
sub-15,tgbu_movie12,2268
sub-15,tgbu_movie13,2231
sub-15,tgbu_movie14,2290
sub-15,tgbu_movie15,2330
sub-15,tgbu_movie16,2318
sub-15,tgbu_movie17,2284
sub-15,tgbu_movie18,2267
sub-15,tgbu_movie01_test,2262
