sub,run,acq_onset,stim_onset,lag
sub-04,tgbu_movie01,82994,85377,2383
sub-04,tgbu_movie02,72925,75297,2372
sub-04,tgbu_movie03,652181,654598,2417
sub-04,tgbu_movie04,1330384,1332686,2302
sub-04,tgbu_movie05,2000317,2002684,2367
sub-04,tgbu_movie06,2678323,2680676,2353
sub-04,tgbu_movie07,3352278,3354661,2383
sub-04,tgbu_movie08,114661,117141,2480
sub-04,tgbu_movie09,796568,798800,2232
sub-04,tgbu_movie10,1471444,1473708,2264
sub-04,tgbu_movie11,2143842,2146098,2256
sub-04,tgbu_movie12,2816618,2818879,2261
sub-04,tgbu_movie13,3489208,3491467,2259
sub-04,tgbu_movie14,4169332,4171594,2262
sub-04,tgbu_movie15,76651,79187,2536
sub-04,tgbu_movie16,751682,754087,2405
sub-04,tgbu_movie17,1440561,1442932,2371
sub-04,tgbu_movie18,2119445,2121772,2327
sub-04,tgbu_movie01_test,2466481,2468773,2292
sub-04,tgbu_movie02_test,3076671,3079013,2342
sub-04,tgbu_movie03_test,3637835,3640188,2353
sub-05,tgbu_movie01,70129,71242,1113
sub-05,tgbu_movie02,662492,663497,1005
sub-05,tgbu_movie03,1212094,1213111,1017
sub-05,tgbu_movie04,1882860,1883871,1011
sub-05,tgbu_movie05,2555314,2556282,968
sub-05,tgbu_movie06,3225067,3226064,997
sub-05,tgbu_movie07,3896066,3897095,1029
sub-05,tgbu_movie08,74390,74878,488
sub-05,tgbu_movie09,806010,806473,463
sub-05,tgbu_movie10,101522,102528,1006
sub-05,tgbu_movie11,777210,778202,992
sub-05,tgbu_movie12,1446365,1447406,1041
sub-05,tgbu_movie13,2126053,2127053,1000
sub-05,tgbu_movie14,2800233,2801301,1068
sub-05,tgbu_movie15,84690,87076,2386
sub-05,tgbu_movie16,770337,772701,2364
sub-05,tgbu_movie17,1468314,1470707,2393
sub-05,tgbu_movie18,2433114,2435627,2513
sub-05,tgbu_movie01_test,2792227,2794583,2356
sub-05,tgbu_movie02_test,3401216,3403559,2343
sub-05,tgbu_movie03_test,3955490,3957910,2420
