sub,run,lag
sub-04,run1,461
sub-04,run2,452
sub-04,run3,422
sub-04,run4,444
sub-04,run5,445
sub-06,run1,456
sub-06,run2,445
sub-06,run3,442
sub-06,run4,432
sub-06,run5,449
sub-08,run1,3038
sub-08,run2,2826
sub-08,run3,2679
sub-08,run4,2668
sub-08,run5,2656
sub-09,run1,489
sub-09,run2,452
sub-09,run3,465
sub-09,run4,440
sub-09,run5,444
sub-11,run1,1151
sub-11,run2,1131
sub-11,run3,1160
sub-11,run4,1162
sub-11,run5,1190
sub-12,run1,426
sub-12,run2,388
sub-12,run3,382
sub-12,run4,405
sub-12,run5,394
sub-14,run1,2546
sub-14,run2,2371
sub-14,run3,2394
sub-14,run4,2369
sub-14,run5,2346
sub-15,run1,414
sub-15,run2,427
sub-15,run3,376
sub-15,run4,375
sub-15,run5,377
