sub,run,acq_onset,stim_onset,lag
sub-04,run1,56481,56942,461
sub-04,run2,1090399,1090851,452
sub-04,run3,2114881,2115303,422
sub-04,run4,3094940,3095384,444
sub-04,run5,4069815,4070260,445
sub-06,run1,67041,67497,456
sub-06,run2,1101369,1101814,445
sub-06,run3,2086555,2086997,442
sub-06,run4,3063332,3063764,432
sub-06,run5,4049326,4049775,449
sub-08,run1,47391,50429,3038
sub-08,run2,1025532,1028358,2826
sub-08,run3,2005122,2007801,2679
sub-08,run4,3002591,3005259,2668
sub-08,run5,3988740,3991396,2656
sub-09,run1,91736,92225,489
sub-09,run2,1071107,1071559,452
sub-09,run3,2046629,2047094,465
sub-09,run4,3034333,3034773,440
sub-09,run5,4009528,4009972,444
sub-11,run1,126131,127282,1151
sub-11,run2,1102135,1103266,1131
sub-11,run3,2087725,2088885,1160
sub-11,run4,3069164,3070326,1162
sub-11,run5,4067807,4068997,1190
sub-12,run1,50351,50777,426
sub-12,run2,1036382,1036770,388
sub-12,run3,2037415,2037797,382
sub-12,run4,3034308,3034713,405
sub-12,run5,4051208,4051602,394
sub-14,run1,69676,72222,2546
sub-14,run2,1076367,1078738,2371
sub-14,run3,2056093,2058487,2394
sub-14,run4,3035977,3038346,2369
sub-14,run5,4019521,4021867,2346
sub-15,run1,55215,55629,414
sub-15,run2,49795,50222,427
sub-15,run3,1104322,1104698,376
sub-15,run4,2086568,2086943,375
sub-15,run5,3075523,3075900,377
